address,region,house_size,property_size,sales_price,sales_date
"
          Stockbergsvägen 13
        ","
            Älvsjö - Långsjö,
          Stockholms kommun
        ","
                158
                ","
              664 m² tomt
            ","
            Slutpris 11 250 000 kr
        ","
            Såld 18 november 2022
          "
"
          Gärdstuguvägen 8
        ","
            Landsnora,
          Sollentuna kommun
        ","
                144
                ","
              688 m² tomt
            ","
            Slutpris 10 150 000 kr
        ","
            Såld 18 november 2022
          "
"
          Götavägen 31A
        ","
            Töjnan,
          Sollentuna kommun
        ","
                168
                ","
              703 m² tomt
            ","
            Slutpris 8 300 000 kr
        ","
            Såld 18 november 2022
          "
"
          Backvägen 11
        ","
            Runby,
          Upplands Väsby kommun
        ","
                233
                ","
              1 824 m² tomt
            ","
            Slutpris 7 600 000 kr
        ","
            Såld 18 november 2022
          "
"
          Wallius väg 32
        ","
            Gustavsberg Östra Ekedal,
          Värmdö kommun
        ","
                127
                ","
              193 m² tomt
            ","
            Slutpris 4 995 000 kr
        ","
            Såld 18 november 2022
          "
"
          Sveas väg 40
        ","
            Kallfors,
          Södertälje kommun
        ","
                180 m²
             
              6 rum
          ","
              1 640 m² tomt
            ","
            Slutpris 7 750 000 kr
        ","
            Såld 18 november 2022
          "
"
          Skogsbacken 4
        ","
            Spånga - Solhem,
          Stockholms kommun
        ","
                105
                ","
              1 151 m² tomt
            ","
            Slutpris 7 900 000 kr
        ","
            Såld 17 november 2022
          "
"
          Sjöviksvägen 3
        ","
            Östertälje,
          Södertälje kommun
        ","
                165
                ","
              1 188 m² tomt
            ","
            Slutpris 5 500 000 kr
        ","
            Såld 17 november 2022
          "
"
          Sandviksvägen 17
        ","
            Hammarby,
          Norrtälje kommun
        ","
                129
                ","
              1 831 m² tomt
            ","
            Slutpris 2 500 000 kr
        ","
            Såld 17 november 2022
          "
"
          Spaljévägen 8
        ","
            Bro - Rosenängen,
          Upplands-Bro kommun
        ","
                142 m²
             
              3 rum
          ","
              1 026 m² tomt
            ","
            Slutpris 5 000 000 kr
        ","
            Såld 17 november 2022
          "
"
          Ekebyvägen 33
        ","
            Ekerö Munsö,
          Ekerö kommun
        ","
                52 m²
             
              2 rum
          ","
              1 995 m² tomt
            ","
            Slutpris 2 575 000 kr
        ","
            Såld 17 november 2022
          "
"
          Trippelvägen 6
        ","
            Tungelsta,
          Haninge kommun
        ","
                144
                ","
              1 043 m² tomt
            ","
            Slutpris 4 400 000 kr
        ","
            Såld 17 november 2022
          "
"
          Olympiavägen 65
        ","
            Tallkrogen,
          Stockholms kommun
        ","
                63
                ","
              331 m² tomt
            ","
            Slutpris 7 450 000 kr
        ","
            Såld 17 november 2022
          "
"
          Johan Skyttes väg 281
        ","
            Älvsjö,
          Stockholms kommun
        ","
                68
                ","
              651 m² tomt
            ","
            Slutpris 6 150 000 kr
        ","
            Såld 17 november 2022
          "
